Section I - Assets,Foreign Currency,Total Currency,P_Tags
1. Cash and cash equivalent,1. Cash and cash equivalent,1. Cash and cash equivalent,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(a) Gold, bank notes, deposits with Bank of Canada, cheques and other items in transit",921,6773,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(b) Deposits with regulated financial institutions, less allowance for expected credit losses",59992,130906,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
2. Securities,2. Securities,2. Securities,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","(a) Securities issues or guaranteed by Canada/Canadian Province/Canadian Municipal or School Corporation, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(i) Treasury Bills and other short term paper,236764,2528128,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(ii)Other securities,25464,902650,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","(b) Other securities, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(i) Debt,249389,286506,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(ii) Shares,7753,16708,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
3. Loans,3. Loans,3. Loans,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","(a) Non-Mortgage Loans, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(i) Call and other short loans to investment dealers and brokers, secured",0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(ii) To regulated financial institutions,44986,724240,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(iii) To Canadian federal government, provinces, municipal or school corporations",0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(iv) To foreign governments,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(v) Lease receivables,688,3383833,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(vi) To individuals for non-business purposes,0,485654,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
Of (A) Secured by residential property,0,354926,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
which: (B) Secured by other than residential property,0,130728,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(vii) Reverse repurchase agreements,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(viii) To individuals and others for business purposes,780704,10749591,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
Of (A) Secured by residential property,0,120618,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
which: (B) Secured by other than residential property,780704,10628973,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","(b) Mortgages, less allowance for expected credit losses","As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(i) Residential,(i) Residential,(i) Residential,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(A) Insured,0,1442792,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(B) Of which: NHA MBS pooled and unsold,0,81341,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(C) Uninsured,0,7908879,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(D) Reverse Mortgages,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(ii) Non-residential,0,12502418,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"4. Customers' liability under acceptances, less allowance for expected credit losses",0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"5. Land, buildings, and equipment, less accumulated depreciation",0,147305,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
"6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","6. Other assets, less allowance for expected credit losses where applicable","As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(a) Insurance-related assets,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(b) Accrued interest,6042,152668,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(c) Prepaid and deferred charges,0,18160,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(d) Goodwill,0,138701,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(e) Intangibles,(e) Intangibles,(e) Intangibles,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(i) with definite lives,0,235585,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(ii) with indefinite lives,0,5735,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(f) Deferred tax assets,0,31241,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(g) Derivatives related amounts,1544,86091,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(h) Due from Head Office and related Canadian regulated Financial Institutions,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(i) Interests in associates and joint ventures,0,0,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
(j) Other,516,118962,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
Total  Assets,1414763,42003526,"As At June 30, 2024, (in thousands of dollars), Canadian Western Bank"
